Stock,Accuracy_train,Accuracy_test,Precision_train,Precision_test,Recall_train,Recall_test,F1_train,F1_test,Acc_train,Acc_test,Best_score,Score_train,Score_test,Best_parameters
MA,0.571034483,0.502262443,0.571034483,0.502262443,1,1,0.726953468,0.668674699,0.571034483,0.502262443,0.861569481,48.0476897,108.4293556,"{'batch_size': 32, 'epochs': 50, 'optimizer__learning_rate': 0.001}"
WMT,0.507586207,0.520361991,0.507586207,0.520361991,1,1,0.673376029,0.68452381,0.507586207,0.520361991,0.906931608,3.449943831,3.077089392,"{'batch_size': 32, 'epochs': 50, 'optimizer__learning_rate': 1}"
HD,0.533793103,0.597285068,0.533793103,0.597285068,1,1,0.696043165,0.747875354,0.533793103,0.597285068,0.93202699,15.99203829,294.3248146,"{'batch_size': 32, 'epochs': 50, 'optimizer__learning_rate': 0.2}"
PFE,0.522758621,0.529411765,0.522758621,0.529411765,1,1,0.686594203,0.692307692,0.522758621,0.529411765,0.935129691,0.333559796,2.080578865,"{'batch_size': 32, 'epochs': 50, 'optimizer__learning_rate': 0.4}"
BAC,0.522758621,0.56561086,0.522758621,0.56561086,1,1,0.686594203,0.722543353,0.522758621,0.56561086,0.91826533,0.44100665,0.673385349,"{'batch_size': 32, 'epochs': 50, 'optimizer__learning_rate': 0.001}"
LLY,0.550344828,0.547511312,0.550344828,0.547511312,1,1,0.709964413,0.707602339,0.550344828,0.547511312,0.884634032,7.251221811,1047.37551,"{'batch_size': 32, 'epochs': 50, 'optimizer__learning_rate': 1e-05}"
KO,0.525517241,0.56561086,0.525517241,0.56561086,1,1,0.688969259,0.722543353,0.525517241,0.56561086,0.923137091,0.610843467,0.337712544,"{'batch_size': 32, 'epochs': 50, 'optimizer__learning_rate': 0.1}"
ABBV,0.529655172,0.583710407,0.529655172,0.583710407,1,1,0.69251578,0.737142857,0.529655172,0.583710407,0.936014584,3.171777353,2.186374785,"{'batch_size': 32, 'epochs': 50, 'optimizer__learning_rate': 1}"
NFLX,0.510344828,0.556561086,0.510344828,0.556561086,1,1,0.675799087,0.715116279,0.510344828,0.556561086,0.819478354,259.101803,253.1626477,"{'batch_size': 64, 'epochs': 30, 'optimizer__learning_rate': 2.5}"
NFLX,0.536551724,0.515837104,0.533203125,0.541666667,0.737837838,0.845528455,0.619047619,0.66031746,0.536551724,0.515837104,0.82264546,311.4831226,509.5178857,"{'batch_size': 64, 'epochs': 30, 'optimizer__learning_rate': 2.5}"
