Stock,Accuracy_train,Accuracy_test,Precision_train,Precision_test,Recall_train,Recall_test,F1_train,F1_test,Acc_train,Acc_test,Best_score,Score_train,Score_test,Best_parameters
NFLX,0.490331492,0.552036199,0.5,0.566666667,0.818428184,0.829268293,0.620760534,0.673267327,0.490331492,0.552036199,-0.02301667,101.0526759,91.09149897,"{'batch_size': 64, 'epochs': 50, 'optimizer__learning_rate': 1e-05}"
MSFT,0.57320442,0.511312217,0.573221757,0.511312217,0.992753623,1,0.726790451,0.676646707,0.57320442,0.511312217,-0.052195734,11.16777564,14.76252165,"{'batch_size': 64, 'epochs': 50, 'optimizer__learning_rate': 0.4}"
V,0.566298343,0.515837104,0.573099415,0.522222222,0.946859903,0.817391304,0.714025501,0.637288136,0.566298343,0.515837104,-0.034262903,10.55354723,11.3580771,"{'batch_size': 128, 'epochs': 50, 'optimizer__learning_rate': 0.1}"
AMZN,0.551104972,0.511312217,0.551104972,0.511312217,1,1,0.710596616,0.676646707,0.551104972,0.511312217,-0.024496073,5.559905873,6.998830897,"{'batch_size': 32, 'epochs': 50, 'optimizer__learning_rate': 1e-05}"
TWTR,0.436464088,0.524886878,0.481632653,0.458333333,0.295739348,0.333333333,0.366459627,0.385964912,0.436464088,0.524886878,-0.022890982,1.524591849,2.796414797,"{'batch_size': 32, 'epochs': 50, 'optimizer__learning_rate': 0.1}"
AAPL,0.555248619,0.524886878,0.565371025,0.546052632,0.808080808,0.697478992,0.665280665,0.612546125,0.555248619,0.524886878,-0.025468336,2.85832379,4.722865508,"{'batch_size': 128, 'epochs': 50, 'optimizer__learning_rate': 0.2}"
GOOG,0.540055249,0.547511312,0.55033557,0.569948187,0.834605598,0.866141732,0.663296259,0.6875,0.540055249,0.547511312,-0.027113097,1.476045784,3.045979814,"{'batch_size': 32, 'epochs': 50, 'optimizer__learning_rate': 0.4}"
TSLA,0.524861878,0.56561086,0.524011299,0.56,0.981481481,0.837606838,0.683241252,0.671232877,0.524861878,0.56561086,-0.037680528,93.75909817,813.5423045,"{'batch_size': 64, 'epochs': 50, 'optimizer__learning_rate': 1e-05}"
FB,0.466850829,0.425339367,0.477777778,0.362068966,0.112565445,0.189189189,0.18220339,0.24852071,0.466850829,0.425339367,-0.036328869,23.84241228,37.52852089,"{'batch_size': 64, 'epochs': 50, 'optimizer__learning_rate': 0.4}"
NVDA,0.529005525,0.497737557,0.545780969,0.523316062,0.775510204,0.841666667,0.640674394,0.645367412,0.529005525,0.497737557,-0.028523953,4.744861636,42.54374423,"{'batch_size': 64, 'epochs': 50, 'optimizer__learning_rate': 0.4}"
JNJ,0.512430939,0.529411765,0.529824561,0.538461538,0.780361757,0.724137931,0.631138976,0.617647059,0.512430939,0.529411765,-0.019436884,3.982014027,2.11757802,"{'batch_size': 32, 'epochs': 50, 'optimizer__learning_rate': 2}"
UNH,0.502762431,0.533936652,0.517138599,0.553921569,0.906005222,0.904,0.658444023,0.686930091,0.502762431,0.533936652,-0.03982065,31.76522768,22.92612746,"{'batch_size': 32, 'epochs': 50, 'optimizer__learning_rate': 0.1}"
XOM,0.477900552,0.502262443,0.474431818,0.504672897,0.976608187,0.964285714,0.638623327,0.662576687,0.477900552,0.502262443,-0.011940477,1.301986624,1.142733918,"{'batch_size': 32, 'epochs': 50, 'optimizer__learning_rate': 0.2}"
JPM,0.513812155,0.479638009,0.509833585,0.483412322,0.923287671,0.944444444,0.656920078,0.639498433,0.513812155,0.479638009,-0.038064814,5.324616668,4.271996828,"{'batch_size': 32, 'epochs': 50, 'optimizer__learning_rate': 0.001}"
CVX,0.505524862,0.502262443,0.516853933,0.622222222,0.127423823,0.231404959,0.204444444,0.337349398,0.505524862,0.502262443,-0.04257191,4.634715234,2.659732465,"{'batch_size': 32, 'epochs': 50, 'optimizer__learning_rate': 2}"
MA,0.422651934,0.488687783,0.222222222,0.25,0.004842615,0.009009009,0.009478673,0.017391304,0.422651934,0.488687783,-0.039306697,34.08684467,40.56535282,"{'batch_size': 32, 'epochs': 50, 'optimizer__learning_rate': 0.2}"
WMT,0.494475138,0.529411765,0.501416431,0.550458716,0.482288828,0.52173913,0.491666667,0.535714286,0.494475138,0.529411765,-0.031166125,2.941057657,2.269628617,"{'batch_size': 64, 'epochs': 50, 'optimizer__learning_rate': 1e-05}"
HD,0.476519337,0.488687783,0.53271028,0.641791045,0.147668394,0.325757576,0.231237323,0.432160804,0.476519337,0.488687783,-0.043607829,15.67978175,18.99011259,"{'batch_size': 32, 'epochs': 50, 'optimizer__learning_rate': 1e-05}"
PFE,0.459944751,0.556561086,0.465240642,0.59223301,0.23015873,0.521367521,0.307964602,0.554545455,0.459944751,0.556561086,-0.015902782,0.333319309,0.678951445,"{'batch_size': 64, 'epochs': 50, 'optimizer__learning_rate': 0.001}"
BAC,0.527624309,0.561085973,0.526162791,0.564220183,0.957671958,0.984,0.679174484,0.717201166,0.527624309,0.561085973,-0.024490436,0.388223454,0.404742858,"{'batch_size': 32, 'epochs': 50, 'optimizer__learning_rate': 0.1}"
LLY,0.549723757,0.570135747,0.549723757,0.561320755,1,0.983471074,0.709447415,0.714714715,0.549723757,0.570135747,-0.013564234,6.316146766,18.82517619,"{'batch_size': 64, 'epochs': 50, 'optimizer__learning_rate': 1e-05}"
KO,0.458563536,0.452488688,0.38,0.75,0.05,0.048,0.088372093,0.090225564,0.458563536,0.452488688,-0.027071352,0.539604335,0.252816481,"{'batch_size': 32, 'epochs': 50, 'optimizer__learning_rate': 1e-05}"
ABBV,0.497237569,0.561085973,0.519427403,0.583333333,0.663185379,0.868217054,0.582568807,0.697819315,0.497237569,0.561085973,-0.02787968,3.101023726,1.947065866,"{'batch_size': 128, 'epochs': 50, 'optimizer__learning_rate': 2}"
