Stock,Accuracy_train,Accuracy_test,Precision_train,Precision_test,Recall_train,Recall_test,F1_train,F1_test,Acc_train,Acc_test,Best_score,Score_train,Score_test,Best_parameters
NFLX,0.533793103,0.443438914,0.609589041,0.5,0.240540541,0.008130081,0.34496124,0.016,0.533793103,0.443438914,0.837783282,392.3568852,1236.128189,"{'batch_size': 32, 'epochs': 50, 'optimizer__learning_rate': 0.1}"
MSFT,0.553103448,0.49321267,0.602708804,1,0.643373494,0.008849558,0.622377622,0.01754386,0.553103448,0.49321267,0.657626048,21.18800509,762.8324689,"{'batch_size': 32, 'epochs': 50, 'optimizer__learning_rate': 0.001}"
V,0.546206897,0.479638009,0.614361702,0.5,0.556626506,0.095652174,0.584070796,0.160583942,0.546206897,0.479638009,0.805948817,19.53409935,60.19071297,"{'batch_size': 32, 'epochs': 50, 'optimizer__learning_rate': 0.2}"
AMZN,0.504827586,0.524886878,0.558739255,0.55,0.4875,0.389380531,0.520694259,0.455958549,0.504827586,0.524886878,0.821308149,14.14194379,22.9145172,"{'batch_size': 32, 'epochs': 50, 'optimizer__learning_rate': 1}"
TWTR,0.52,0.515837104,0.591397849,0.166666667,0.413533835,0.02020202,0.486725664,0.036036036,0.52,0.515837104,0.899795476,2.557483491,7.112503749,"{'batch_size': 32, 'epochs': 50, 'optimizer__learning_rate': 0.2}"
AAPL,0.542068966,0.488687783,0.563106796,0.534090909,0.730478589,0.394957983,0.635964912,0.45410628,0.542068966,0.488687783,0.922538876,7.524984203,24.58166209,"{'batch_size': 32, 'epochs': 50, 'optimizer__learning_rate': 2}"
GOOG,0.503448276,0.43438914,0.545698925,1,0.515228426,0.015748031,0.53002611,0.031007752,0.503448276,0.43438914,0.874895342,2.776119076,121.1661787,"{'batch_size': 32, 'epochs': 50, 'optimizer__learning_rate': 0.001}"
TSLA,0.486896552,0.488687783,0.50812065,0.54,0.577836412,0.230769231,0.540740741,0.323353293,0.486896552,0.488687783,0.418544745,271.5633673,4923.714585,"{'batch_size': 32, 'epochs': 50, 'optimizer__learning_rate': 2}"
NVDA,0.535172414,0.470588235,0.57253886,0.6,0.562340967,0.075,0.567394095,0.133333333,0.535172414,0.470588235,0.88870038,11.54515632,2011.935556,"{'batch_size': 32, 'epochs': 50, 'optimizer__learning_rate': 0.1}"
JNJ,0.508965517,0.479638009,0.559701493,1,0.386597938,0.00862069,0.457317073,0.017094017,0.508965517,0.479638009,0.685303148,7.092891127,20.00640722,"{'batch_size': 32, 'epochs': 50, 'optimizer__learning_rate': 2}"
UNH,0.51862069,0.43438914,0.601190476,0,0.263707572,0,0.366606171,0,0.51862069,0.43438914,0.868889433,60.57672784,481.3635299,"{'batch_size': 32, 'epochs': 50, 'optimizer__learning_rate': 2}"
XOM,0.542068966,0.488687783,0.542372881,0.428571429,0.187134503,0.026785714,0.27826087,0.050420168,0.542068966,0.488687783,0.584271131,5.641646955,16.54868617,"{'batch_size': 32, 'epochs': 50, 'optimizer__learning_rate': 1e-05}"
JPM,0.502068966,0.533936652,0.50877193,0.692307692,0.396174863,0.083333333,0.44546851,0.148760331,0.502068966,0.533936652,0.873788975,9.221144221,19.32782562,"{'batch_size': 32, 'epochs': 50, 'optimizer__learning_rate': 1}"
CVX,0.536551724,0.574660633,0.55186722,0.636363636,0.368421053,0.520661157,0.441860465,0.572727273,0.536551724,0.574660633,0.232323998,9.296268246,5.914202494,"{'batch_size': 32, 'epochs': 50, 'optimizer__learning_rate': 1}"
MA,0.564137931,0.529411765,0.608888889,0.58974359,0.661835749,0.207207207,0.634259259,0.306666667,0.564137931,0.529411765,0.719306671,70.42675368,131.1596321,"{'batch_size': 32, 'epochs': 50, 'optimizer__learning_rate': 2}"
WMT,0.496551724,0.479638009,0.513274336,0.5,0.157608696,0.095652174,0.241164241,0.160583942,0.496551724,0.479638009,0.58620572,8.851735927,13.69609485,"{'batch_size': 32, 'epochs': 50, 'optimizer__learning_rate': 0.001}"
HD,0.489655172,0.411764706,0.527508091,0.666666667,0.42118863,0.03030303,0.468390805,0.057971014,0.489655172,0.411764706,0.89952244,31.81529595,317.4597923,"{'batch_size': 32, 'epochs': 50, 'optimizer__learning_rate': 1e-05}"
PFE,0.522758621,0.524886878,0.545961003,0.642857143,0.517150396,0.230769231,0.531165312,0.339622642,0.522758621,0.524886878,0.873958394,0.601614432,6.636259456,"{'batch_size': 32, 'epochs': 50, 'optimizer__learning_rate': 0.001}"
BAC,0.522758621,0.438914027,0.565217391,1,0.377308707,0.008,0.452531646,0.015873016,0.522758621,0.438914027,0.874278209,0.724969838,5.083584579,"{'batch_size': 32, 'epochs': 50, 'optimizer__learning_rate': 0.4}"
LLY,0.553103448,0.457013575,0.626262626,0.666666667,0.466165414,0.016528926,0.534482759,0.032258065,0.553103448,0.457013575,0.755701937,15.20095843,546.3131577,"{'batch_size': 32, 'epochs': 50, 'optimizer__learning_rate': 2}"
KO,0.517241379,0.49321267,0.569506726,0.724137931,0.333333333,0.168,0.420529801,0.272727273,0.517241379,0.49321267,0.87989847,0.931327559,0.798870951,"{'batch_size': 32, 'epochs': 50, 'optimizer__learning_rate': 0.001}"
ABBV,0.489655172,0.393665158,0.522012579,0,0.432291667,0,0.472934473,0,0.489655172,0.393665158,0.875422813,5.945095299,12.26800079,"{'batch_size': 32, 'epochs': 50, 'optimizer__learning_rate': 0.1}"
