Stock,Accuracy_train,Accuracy_test,Precision_train,Precision_test,Recall_train,Recall_test,F1_train,F1_test,Acc_train,Acc_test,Best_score,Score_train,Score_test,Best_parameters
NFLX,0.510344828,0.556561086,0.510344828,0.556561086,1,1,0.675799087,0.715116279,0.510344828,0.556561086,0.810290661,277.605487,268.7525572,"{'batch_size': 64, 'epochs': 30, 'optimizer__learning_rate': 2.5}"
NFLX,0.510344828,0.556561086,0.510344828,0.556561086,1,1,0.675799087,0.715116279,0.510344828,0.556561086,0.910707633,108.457342,105.1452444,"{'batch_size': 32, 'epochs': 50, 'optimizer__learning_rate': 0.1}"
MSFT,0.572413793,0.511312217,0.572413793,0.511312217,1,1,0.728070175,0.676646707,0.572413793,0.511312217,0.912757449,19.82790328,345.3392418,"{'batch_size': 32, 'epochs': 50, 'optimizer__learning_rate': 2}"
V,0.572413793,0.520361991,0.572413793,0.520361991,1,1,0.728070175,0.68452381,0.572413793,0.520361991,0.895121894,12.23392927,12.92695547,"{'batch_size': 32, 'epochs': 50, 'optimizer__learning_rate': 1}"
AMZN,0.551724138,0.511312217,0.551724138,0.511312217,1,1,0.711111111,0.676646707,0.551724138,0.511312217,0.880845627,10.22629117,22.27031431,"{'batch_size': 32, 'epochs': 50, 'optimizer__learning_rate': 1e-05}"
TWTR,0.550344828,0.447963801,0.550344828,0.447963801,1,1,0.709964413,0.61875,0.550344828,0.447963801,0.942103637,1.949636782,12.13302051,"{'batch_size': 32, 'epochs': 50, 'optimizer__learning_rate': 0.1}"
AAPL,0.547586207,0.538461538,0.547586207,0.538461538,1,1,0.707664884,0.7,0.547586207,0.538461538,0.943201511,5.507039274,13.57405353,"{'batch_size': 32, 'epochs': 50, 'optimizer__learning_rate': 0.2}"
GOOG,0.543448276,0.574660633,0.543448276,0.574660633,1,1,0.704200179,0.729885057,0.543448276,0.574660633,0.893341584,1.821066963,22.97588768,"{'batch_size': 32, 'epochs': 50, 'optimizer__learning_rate': 1e-05}"
TSLA,0.522758621,0.529411765,0.522758621,0.529411765,1,1,0.686594203,0.692307692,0.522758621,0.529411765,0.800880515,169.1841718,2196.592062,"{'batch_size': 64, 'epochs': 50, 'optimizer__learning_rate': 0.2}"
FB,0.528275862,0.502262443,0.528275862,0.502262443,1,1,0.69133574,0.668674699,0.528275862,0.502262443,0.92241279,23.47501888,58.65160392,"{'batch_size': 32, 'epochs': 50, 'optimizer__learning_rate': 0.1}"
NVDA,0.542068966,0.542986425,0.542068966,0.542986425,1,1,0.703041145,0.703812317,0.542068966,0.542986425,0.901310704,7.299345846,2974.413532,"{'batch_size': 64, 'epochs': 50, 'optimizer__learning_rate': 1e-05}"
JNJ,0.535172414,0.524886878,0.535172414,0.524886878,1,1,0.697214735,0.6884273,0.535172414,0.524886878,0.831378882,4.065830454,7.377644138,"{'batch_size': 32, 'epochs': 50, 'optimizer__learning_rate': 0.1}"
