Stock,Accuracy_train,Accuracy_test,Precision_train,Precision_test,Recall_train,Recall_test,F1_train,F1_test,Acc_train,Acc_test,Best_score,Score_train,Score_test,Best_parameters
NFLX,0.537931034,0.497737557,0.560137457,0.676470588,0.440540541,0.18699187,0.493192133,0.292993631,0.537931034,0.497737557,0.902231734,130.0311833,159.0455595,"{'batch_size': 32, 'epochs': 50, 'optimizer__learning_rate': 0.4}"
MSFT,0.48,0.488687783,0.641791045,0,0.207228916,0,0.313296903,0,0.48,0.488687783,0.913242746,19.07058158,458.6998353,"{'batch_size': 32, 'epochs': 50, 'optimizer__learning_rate': 0.4}"
V,0.588965517,0.475113122,0.600343053,0.492753623,0.843373494,0.295652174,0.701402806,0.369565217,0.588965517,0.475113122,0.872656402,11.34853846,13.73215504,"{'batch_size': 32, 'epochs': 50, 'optimizer__learning_rate': 0.1}"
AMZN,0.492413793,0.552036199,0.557553957,0.645833333,0.3875,0.274336283,0.457227139,0.385093168,0.492413793,0.552036199,0.887700697,9.446060525,24.53561325,"{'batch_size': 32, 'epochs': 50, 'optimizer__learning_rate': 0.2}"
TWTR,0.48,0.542986425,0.634146341,0.25,0.130325815,0.01010101,0.216216216,0.019417476,0.48,0.542986425,0.943512372,1.806818114,5.822460934,"{'batch_size': 32, 'epochs': 50, 'optimizer__learning_rate': 0.2}"
AAPL,0.502068966,0.49321267,0.59,0.585365854,0.297229219,0.201680672,0.395309883,0.3,0.502068966,0.49321267,0.93620495,3.695799515,14.97464734,"{'batch_size': 32, 'epochs': 50, 'optimizer__learning_rate': 0.4}"
GOOG,0.565517241,0.475113122,0.567521368,0.6,0.842639594,0.25984252,0.678243105,0.362637363,0.565517241,0.475113122,0.888829013,2.102947483,51.11450199,"{'batch_size': 32, 'epochs': 50, 'optimizer__learning_rate': 0.1}"
TSLA,0.497931034,0.497737557,0.538071066,0.536585366,0.279683377,0.376068376,0.368055556,0.442211055,0.497931034,0.497737557,0.758832024,161.7581371,984.427859,"{'batch_size': 32, 'epochs': 50, 'optimizer__learning_rate': 0.4}"
NVDA,0.539310345,0.484162896,0.607272727,0.568181818,0.424936387,0.208333333,0.5,0.304878049,0.539310345,0.484162896,0.942660125,5.63216593,5845.968596,"{'batch_size': 32, 'epochs': 50, 'optimizer__learning_rate': 0.2}"
JNJ,0.503448275862069,0.4751131221719457,0.5546875,0.0,0.36597938144329895,0.0,0.4409937888198757,0.0,0.503448275862069,0.4751131221719457,0.8645136396262862,4.237618817543157,15.903716262433099,"{'batch_size': 32, 'epochs': 50, 'optimizer__learning_rate': 0.001}"
UNH,0.5517241379310345,0.5067873303167421,0.5523465703971119,0.6290322580645161,0.7989556135770235,0.312,0.6531483457844183,0.4171122994652407,0.5517241379310345,0.5067873303167421,0.9297590762761715,31.116836650829093,65.57633984196713,"{'batch_size': 32, 'epochs': 50, 'optimizer__learning_rate': 0.2}"
XOM,0.5406896551724137,0.4660633484162896,0.5122615803814714,0.38461538461538464,0.5497076023391813,0.08928571428571429,0.5303244005641748,0.14492753623188406,0.5406896551724137,0.4660633484162896,0.8209396312688787,1.6239364468381925,3.5842778442505128,"{'batch_size': 32, 'epochs': 50, 'optimizer__learning_rate': 1e-05}"
JPM,0.5089655172413793,0.5067873303167421,0.5277777777777778,0.3333333333333333,0.25956284153005466,0.009259259259259259,0.34798534798534797,0.018018018018018018,0.5089655172413793,0.5067873303167421,0.919151887256601,5.7018612966627895,14.77648047587377,"{'batch_size': 32, 'epochs': 50, 'optimizer__learning_rate': 2}"
