Stock,Accuracy_train,Accuracy_test,Precision_train,Precision_test,Recall_train,Recall_test,F1_train,F1_test,Acc_train,Acc_test,Best_score,Score_train,Score_test,Best_parameters
NFLX,0.505524862,0.389140271,0.553398058,0.285714286,0.154471545,0.06504065,0.241525424,0.105960265,0.505524862,0.389140271,-0.016674885,100.0115973,90.19634381,"{'batch_size': 64, 'epochs': 50, 'optimizer__learning_rate': 0.001}"
MSFT,0.432320442,0.50678733,0.6,0.51754386,0.02173913,0.522123894,0.041958042,0.519823789,0.432320442,0.50678733,-0.165974139,10.09477848,13.50257147,"{'batch_size': 32, 'epochs': 50, 'optimizer__learning_rate': 0.001}"
V,0.473756906,0.470588235,0.542199488,0.494382022,0.512077295,0.765217391,0.526708075,0.600682594,0.473756906,0.470588235,-0.063134169,10.34837608,11.62648163,"{'batch_size': 128, 'epochs': 50, 'optimizer__learning_rate': 2}"
AMZN,0.551104972,0.511312217,0.551104972,0.511312217,1,1,0.710596616,0.676646707,0.551104972,0.511312217,-0.041201185,5.361146675,6.958014298,"{'batch_size': 32, 'epochs': 50, 'optimizer__learning_rate': 0.001}"
TWTR,0.546961326,0.49321267,0.553869499,0.467005076,0.914786967,0.929292929,0.689981096,0.621621622,0.546961326,0.49321267,-0.007533598,1.50885051,3.462910514,"{'batch_size': 128, 'epochs': 50, 'optimizer__learning_rate': 0.1}"
AAPL,0.498618785,0.538461538,0.570815451,0.538461538,0.335858586,1,0.422893482,0.7,0.498618785,0.538461538,-0.056410375,2.84329431,4.615281314,"{'batch_size': 32, 'epochs': 50, 'optimizer__learning_rate': 0.001}"
GOOG,0.537292818,0.574660633,0.543939394,0.574660633,0.913486005,1,0.681861349,0.729885057,0.537292818,0.574660633,-0.101460748,1.484775883,3.405734598,"{'batch_size': 128, 'epochs': 50, 'optimizer__learning_rate': 1e-05}"
TSLA,0.522099448,0.529411765,0.522099448,0.529411765,1,1,0.686025408,0.692307692,0.522099448,0.529411765,-0.1091074,103.8608402,892.4350164,"{'batch_size': 32, 'epochs': 50, 'optimizer__learning_rate': 0.001}"
FB,0.527624309,0.511312217,0.527624309,0.507317073,1,0.936936937,0.690777577,0.658227848,0.527624309,0.511312217,-0.097474461,23.42052905,35.09632869,"{'batch_size': 32, 'epochs': 50, 'optimizer__learning_rate': 0.1}"
NVDA,0.538674033,0.547511312,0.540502793,0.54587156,0.987244898,0.991666667,0.698555957,0.704142012,0.538674033,0.547511312,-0.070039355,4.766445755,41.67781432,"{'batch_size': 128, 'epochs': 50, 'optimizer__learning_rate': 1e-05}"
JNJ,0.534530387,0.524886878,0.534530387,0.524886878,1,1,0.696669667,0.6884273,0.534530387,0.524886878,-0.026141356,4.020196901,4.013576818,"{'batch_size': 32, 'epochs': 50, 'optimizer__learning_rate': 1e-05}"
UNH,0.497237569,0.43438914,0.581196581,0,0.177545692,0,0.272,0,0.497237569,0.43438914,-0.042529511,31.69161395,131.3788576,"{'batch_size': 32, 'epochs': 50, 'optimizer__learning_rate': 0.4}"
XOM,0.505524862,0.49321267,0.466942149,0,0.330409357,0,0.386986301,0,0.505524862,0.49321267,-0.167179571,1.250259063,1.15118386,"{'batch_size': 32, 'epochs': 50, 'optimizer__learning_rate': 0.2}"
JPM,0.506906077,0.475113122,0.543478261,0.481651376,0.136986301,0.972222222,0.218818381,0.644171779,0.506906077,0.475113122,-0.019580331,5.176957013,6.165943182,"{'batch_size': 128, 'epochs': 50, 'optimizer__learning_rate': 0.2}"
CVX,0.512430939,0.524886878,0.507117438,0.578431373,0.789473684,0.487603306,0.617551463,0.529147982,0.512430939,0.524886878,-0.034198152,4.624952512,2.590341766,"{'batch_size': 32, 'epochs': 50, 'optimizer__learning_rate': 0.1}"
MA,0.430939227,0.488687783,0.509803922,0.333333333,0.062953995,0.018018018,0.112068966,0.034188034,0.430939227,0.488687783,-0.059457345,33.7698594,40.62493777,"{'batch_size': 128, 'epochs': 50, 'optimizer__learning_rate': 1}"
WMT,0.506906077,0.520361991,0.506906077,0.520361991,1,1,0.672777269,0.68452381,0.506906077,0.520361991,-0.049021345,2.934276433,2.234494065,"{'batch_size': 32, 'epochs': 50, 'optimizer__learning_rate': 0.1}"
HD,0.470994475,0.552036199,0.615384615,0.587301587,0.020725389,0.840909091,0.040100251,0.691588785,0.470994475,0.552036199,-0.068743478,16.2476559,20.1324223,"{'batch_size': 32, 'epochs': 50, 'optimizer__learning_rate': 0.2}"
PFE,0.491712707,0.461538462,0.596153846,0.484848485,0.082010582,0.273504274,0.144186047,0.349726776,0.491712707,0.461538462,-0.010855007,0.334000059,0.697951678,"{'batch_size': 128, 'epochs': 50, 'optimizer__learning_rate': 0.2}"
BAC,0.516574586,0.56561086,0.524734982,0.56561086,0.785714286,1,0.629237288,0.722543353,0.516574586,0.56561086,-0.017801553,0.382628787,0.552846283,"{'batch_size': 128, 'epochs': 50, 'optimizer__learning_rate': 2}"
LLY,0.549723757,0.561085973,0.549723757,0.56185567,1,0.900826446,0.709447415,0.692063492,0.549723757,0.561085973,-0.11146774,6.684698046,17.85021941,"{'batch_size': 32, 'epochs': 50, 'optimizer__learning_rate': 1e-05}"
KO,0.473756906,0.43438914,0.482758621,0,0.036842105,0,0.068459658,0,0.473756906,0.43438914,-0.04628367,0.526504515,0.311039946,"{'batch_size': 32, 'epochs': 50, 'optimizer__learning_rate': 1e-05}"
ABBV,0.493093923,0.416289593,0.597560976,0,0.127937337,0,0.210752688,0,0.493093923,0.416289593,-0.053847438,3.02721545,2.709340424,"{'batch_size': 128, 'epochs': 50, 'optimizer__learning_rate': 1}"
,0.505404756,0.501082038,0.544428045,0.417824417,0.538707094,0.639276601,0.442171236,0.480246909,0.505404756,0.501082038,-0.062439861,16.27701966,57.97346314,
